"id","question","answer"
1,"Quel film a remporté l’Oscar du meilleur film en 2020 ?","Parasite"
2,"Qui joue le rôle de Neo dans la saga Matrix ?","Keanu Reeves"
3,"Dans quel film de 1941 Orson Welles incarne-t-il Charles Foster Kane ?","Citizen Kane"
4,"Quel est le prénom du personnage principal dans 'Le Fabuleux Destin d’Amélie Poulain' ?","Amélie"
5,"Quel réalisateur a signé 'Pulp Fiction' ?","Quentin Tarantino"
6,"Dans 'Titanic', comment s’appelle le personnage joué par Leonardo DiCaprio ?","Jack Dawson"
7,"Quel film d’animation Pixar met en scène une famille de super-héros ?","Les Indestructibles"
8,"Dans quel film de 2014 Matthew McConaughey voyage-t-il à travers un trou de ver ?","Interstellar"
9,"Quel est le nom du robot dans 'Wall-E' ?","Wall-E"
10,"Qui a réalisé 'La Dolce Vita' ?","Federico Fellini"
11,"Dans quel film de 1972 Marlon Brando incarne-t-il Don Vito Corleone ?","Le Parrain"
12,"Quel est le nom du personnage principal dans la saga 'Indiana Jones' ?","Indiana Jones"
13,"Dans 'Retour vers le futur', comment s’appelle la machine à voyager dans le temps ?","La DeLorean"
14,"Quel film de 1999 met en scène un garçon qui voit des morts ?","Sixième Sens"
15,"Qui incarne le Joker dans 'The Dark Knight' ?","Heath Ledger"
16,"Dans 'Forrest Gump', quel sport pratique le héros à l’université ?","Le football américain"
17,"Quel réalisateur japonais a signé 'Le Voyage de Chihiro' ?","Hayao Miyazaki"
18,"Dans 'La La Land', qui joue le rôle de Mia ?","Emma Stone"
19,"Quel film de 1977 a lancé la saga Star Wars ?","Star Wars : Un nouvel espoir"
20,"Quel est le nom du clown maléfique dans 'Ça' ?","Pennywise"
21,"Dans 'Inception', quel objet permet à Cobb de savoir s’il rêve ?","Une toupie"
22,"Quel film français de 2008 raconte l’histoire d’un policier infiltré dans la mafia marseillaise ?","Mesrine"
23,"Dans 'Shining', quel est le prénom du fils de Jack Torrance ?","Danny"
24,"Quel réalisateur a signé 'Fight Club' ?","David Fincher"
25,"Dans 'Le Seigneur des Anneaux', qui joue Frodon Sacquet ?","Elijah Wood"
26,"Dans 'La Haine', quel acteur incarne Vinz ?","Vincent Cassel"
27,"Quel film d’animation de 1994 raconte l’histoire de Simba ?","Le Roi Lion"
28,"Quel est le nom du vaisseau dans 'Alien' ?","Nostromo"
31,"Dans 'Blade Runner', qui joue Rick Deckard ?","Harrison Ford"
32,"Quel film de 2017 a pour héros un super-héros africain ?","Black Panther"
33,"Dans 'E.T.', que veut dire E.T. ?","Extra-Terrestre"
34,"Quel est le nom de la princesse dans 'La Belle au bois dormant' ?","Aurore"
35,"Dans 'Le Grand Bleu', qui joue Jacques Mayol ?","Jean-Marc Barr"
36,"Quel film de 1985 met en scène un professeur excentrique et un adolescent voyageant dans le temps ?","Retour vers le futur"
37,"Dans 'Le Cinquième Élément', quel acteur incarne Korben Dallas ?","Bruce Willis"
38,"Quel est le nom du tueur dans 'Halloween' ?","Michael Myers"
39,"Dans 'Jurassic Park', qui est le créateur du parc ?","John Hammond"
40,"Quel film de 2016 met en scène un super-héros qui brise le quatrième mur ?","Deadpool"
41,"Dans 'Le Parrain', quel est le prénom du fils de Vito Corleone qui prend la relève ?","Michael"
42,"Quel film d’animation japonais raconte l’histoire d’une fillette dans un monde de sorcières ?","Kiki la petite sorcière"
43,"Dans 'Gladiator', qui incarne Maximus ?","Russell Crowe"
